Reference;Value;Datasheet;Footprint;Qty;DNP;Manufacturer_Part_Number;LCSC Part #;Purpose
C1,C2,C3;100nF;~;Capacitor_SMD:C_0402_1005Metric;3;;CL05B104KO5NNNC;C1525;Decoupling capacitor
C4,C5;1000uF;~;Capacitor_SMD:CP_Elec_10x7.9;2;;VKME1301C102MV;C487313;Bulk capacitor
J1;SFW20S-2STE1LF;https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/10172832.pdf;Own footprints:SFW20S2STE1LF_Own;1;;SFW20S-2STE1LF;C3168412;Flex cable connector
J3;9159008603906;https://datasheets.kyocera-avx.com/9159-600.pdf;9159008603906;1;;9159008603906;C22394454;Rigid board connector
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q11,Q12;Si3456DDV;https://www.vishay.com/docs/69075/si3456ddv.pdf;Package_SO:TSOP-6_1.65x3.05mm_P0.95mm;10;;SI3456DDV-T1-BE3;C6295864;MOSFET transistor
R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20;200mR;~;Resistor_SMD:R_1020_2550Metric;20;;RCWE1020R200FKEA;C4000899;Series resistor
R21,R22,R23,R24,R25,R26,R27,R28,R31,R32,R33,R34,R35,R36,R37,R38;4700R;~;Resistor_SMD:R_0402_1005Metric;16;;0402WGF4701TCE;C25900;Pullup resistor
R40,R41;2740R;~;Resistor_SMD:R_0603_1608Metric;2;;0603WAF2701T5E;C13167;Pullup resistor
U2;74HC245;http://www.ti.com/lit/gpn/sn74HC245;Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm;1;;SN74AHCT245PWR;C10910;Bus transceivers / line driver
U3;24AA025E48T-I/OT;https://www.lcsc.com/datasheet/lcsc_datasheet_1810121540_Microchip-Tech-24AA025E48T-I-OT_C129895.pdf;Package_TO_SOT_SMD:SOT-23-6;1;;24AA025E48T-I/OT;C129895;EEPROM
U4;74LVC1G32;http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf;Package_TO_SOT_SMD:SOT-353_SC-70-5;1;;74LVC1G32SE;C460530;Logic OR gate
